Year,Amber Valley,Ashfield,Bassetlaw,Bolsover,Boston and Skegness,Bosworth,Broxtowe,Charnwood,Chesterfield,Corby,Daventry,Derby North,Derby South,Derbyshire Dales,Erewash,Gainsborough,Gedling,Grantham and Stamford,Harborough,High Peak,Kettering,Leicester East,Leicester South,Leicester West,Lincoln,Loughborough,Louth and Horncastle,Mansfield,Mid Derbyshire,Newark,North East Derbyshire,North West Leicestershire,Northampton North,Northampton South,Nottingham East,Nottingham North,Nottingham South,Rushcliffe,Rutland and Melton,Sherwood,Sleaford and North Hykeham,South Derbyshire,South Holland and The Deepings,South Leicestershire,South Northamptonshire,Wellingborough
2011,14.5,14.1,13.2,13.6,13.5,12,13.9,12,13,10,10.9,15.3,15.3,14.5,13.7,13.4,12.6,12.3,12.4,14.5,13.3,14.5,18.1,16,15.6,14.1,13.4,14.1,12.4,13.1,11.3,12.5,13.4,13,18.4,11.7,15.4,13.4,13.5,13.5,11.4,12.4,10.9,10.7,9.6,11.6
2012,13.10,12.80,12.60,12.70,13.40,10.90,11.90,10.50,13.00,10.40,10.60,15.20,19.20,15.90,12.90,12.70,11.00,11.90,11.30,13.30,11.90,21.90,22.90,19.00,14.40,13.60,13.00,12.60,10.60,12.30,11.70,11.50,12.90,12.80,21.30,16.30,17.40,11.70,12.30,12.00,10.10,11.00,10.20,9.60,8.70,11.50
2013,10.40,9.70,9.60,9.90,10.60,8.70,9.70,8.20,10.00,8.40,8.60,12.00,15.60,11.40,10.70,9.90,9.20,9.30,8.90,10.50,9.50,17.20,17.60,14.80,11.30,10.60,10.30,9.60,8.50,9.50,8.90,9.00,11.80,10.70,16.40,12.70,13.00,8.90,9.30,9.00,7.90,9.00,7.80,7.70,7.00,9.80
2014,10.10,9.50,9.80,9.90,11.50,8.80,9.10,7.40,9.50,9.20,10.40,10.80,12.20,12.30,9.60,11.10,8.70,10.60,8.40,10.50,9.40,12.60,14.60,13.10,11.00,9.70,11.50,9.30,7.80,10.80,8.60,10.00,10.80,9.80,14.90,11.10,11.70,8.70,10.80,8.80,9.70,9.10,8.60,7.30,7.90,9.30
2015,12.97,12.01,11.46,11.73,13.40,11.36,11.80,10.77,12.24,11.44,10.61,14.54,16.19,12.40,13.35,12.70,11.75,12.11,11.05,12.42,12.43,17.63,19.01,17.85,13.98,13.39,12.84,12.06,10.53,11.77,10.98,11.31,14.10,13.88,17.97,13.75,15.75,10.19,12.08,11.13,10.51,11.29,11.23,9.84,9.16,12.57
2016,13.00,12.30,11.40,11.90,13.70,10.30,11.60,9.40,11.90,10.40,9.70,12.80,15.00,11.00,12.60,12.20,11.10,10.80,9.30,10.60,10.80,15.00,15.70,15.00,12.80,11.60,12.60,12.00,10.20,11.00,11.20,10.70,11.90,11.30,15.70,14.30,13.90,10.20,10.60,11.10,10.70,10.50,11.40,8.90,8.10,10.90
2017,9.07,9.51,9.06,9.29,10.29,7.71,8.49,7.21,9.35,7.99,7.40,10.21,12.96,9.03,9.39,9.26,8.44,8.51,7.70,8.46,8.47,14.39,14.80,12.47,10.14,9.72,9.87,9.75,7.36,8.48,8.32,7.86,9.35,9.04,14.25,11.11,12.45,7.90,8.14,8.87,7.50,7.88,7.50,6.81,6.05,8.45
2018,10.60,10.80,11.10,11.10,12.70,9.20,9.40,8.40,10.30,9.70,10.30,11.30,13.40,12.80,10.40,12.80,9.40,10.00,8.80,10.50,9.50,14.80,15.90,12.90,10.70,11.00,14.50,10.70,8.60,10.60,10.00,9.80,9.70,8.90,15.10,12.70,14.00,8.90,10.60,10.90,10.80,9.80,11.10,8.50,8.20,9.50
