Year,Milton Keynes South,Basingstoke,Bracknell,Milton Keynes North,Crawley,Wokingham,North East Hampshire,Eastleigh,Fareham,North West Hampshire,Surrey Heath,Aylesbury,Banbury,Meon Valley,Aldershot,Horsham,New Forest East,Newbury,Windsor,Havant,East Hampshire,Woking,Gosport,Spelthorne,Mid Sussex,Dartford,Winchester,Wantage,Ashford,Slough,Beaconsfield,New Forest West,Maidenhead,Witney,East Surrey,Runnymede and Weybridge,"Southampton, Itchen",Faversham and Mid Kent,Buckingham,Reigate,Chesham and Amersham,Sevenoaks,Wealden,Rochester and Strood,Wycombe,Reading West,South West Surrey,Bognor Regis and Littlehampton,Henley,Tonbridge and Malling,Chatham and Aylesford,Chichester,Sittingbourne and Sheppey,Mole Valley,Gravesham,Arundel and South Downs,Guildford,Bexhill and Battle,Worthing West,East Worthing and Shoreham,Romsey and Southampton North,Esher and Walton,Lewes,Epsom and Ewell,Eastbourne,Portsmouth North,Oxford West and Abingdon,Tunbridge Wells,Folkestone and Hythe,"Brighton, Kemptown",Maidstone and The Weald,Gillingham and Rainham,Dover,Isle of Wight,North Thanet,Canterbury,Hove,Reading East,"Southampton, Test",Hastings and Rye,South Thanet,Portsmouth South,Oxford East,"Brighton, Pavilion"
2011,4.8,4.9,5.2,5.3,5.3,6.1,6.4,6.4,6.5,6.6,6.7,6.7,6.7,6.8,6.8,6.9,7,7,7,7,7.1,7.1,7.1,7.2,7.3,7.3,7.4,7.5,7.5,7.5,7.6,7.6,7.6,7.7,7.7,7.7,7.8,7.9,8,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.2,8.2,8.2,8.2,8.4,8.4,8.5,8.5,8.6,8.6,8.6,8.7,8.7,8.7,8.9,9,9.1,9.1,9.1,9.2,9.2,9.2,9.3,9.5,9.7,9.9,9.9,10.2,10.5,10.6,10.9,10.9,11.2,11.9,12,12.9,13
2012,5.30,5.10,5.10,5.60,5.80,5.40,5.70,6.00,5.30,6.60,6.00,6.70,6.60,6.20,6.50,6.50,6.60,6.90,6.40,7.20,6.80,6.90,6.40,6.40,6.50,7.00,7.10,6.90,7.50,10.20,7.30,6.70,7.30,6.90,7.10,6.90,7.90,7.90,7.40,7.20,7.70,7.70,8.20,7.90,8.80,8.20,7.70,6.80,7.70,8.00,8.10,8.30,8.10,8.10,8.90,8.10,8.20,8.20,7.10,7.30,8.80,7.70,7.90,7.70,7.70,9.20,7.80,9.10,8.80,9.30,8.50,9.00,9.10,9.50,8.70,9.50,9.50,10.60,11.40,10.70,10.30,12.00,12.50,11.90
2013,6.00,5.60,5.90,6.60,6.70,6.10,6.10,6.50,6.00,6.50,6.50,7.10,7.20,6.50,6.90,6.60,6.80,6.80,6.90,7.90,6.70,7.00,7.30,7.10,6.80,7.50,7.30,7.10,7.50,10.20,6.80,7.10,7.40,6.90,6.90,7.30,8.30,7.80,7.40,7.10,7.40,7.50,7.60,8.60,8.80,9.00,7.40,7.70,7.90,7.90,9.10,8.00,8.70,7.50,9.60,7.90,8.20,8.30,7.60,7.80,8.60,7.20,8.10,7.50,8.40,10.60,7.90,8.50,9.40,10.20,8.40,10.50,9.30,10.00,9.20,10.00,10.70,11.10,11.70,11.60,10.30,13.70,12.10,13.30
2014,5.40,5.90,6.10,6.50,6.80,6.20,6.60,6.10,5.60,8.50,6.50,7.10,8.40,7.10,7.00,7.50,6.60,8.90,7.20,7.10,7.50,6.70,7.20,7.00,7.40,7.20,8.00,8.00,8.20,8.30,7.00,7.00,7.80,8.50,6.90,7.30,8.00,8.20,9.70,7.40,7.50,8.40,8.20,8.20,8.50,8.60,7.80,7.40,9.40,8.50,8.70,8.90,8.50,7.70,9.10,8.80,8.40,8.60,7.40,7.30,9.50,7.40,8.90,7.20,8.40,9.50,8.30,9.70,9.60,9.80,8.80,9.80,9.60,8.90,9.00,10.00,11.10,10.60,11.20,11.50,10.40,13.80,11.80,14.30
2015,7.62,7.40,7.26,8.25,8.46,7.11,7.74,8.28,7.57,8.53,7.60,8.35,9.34,7.99,8.94,7.64,8.12,8.76,7.72,9.45,7.86,7.91,9.41,7.68,7.90,8.61,8.50,8.65,9.40,12.69,6.88,8.15,8.10,8.67,7.70,7.80,10.39,9.04,9.35,7.52,7.47,7.72,8.50,10.29,9.81,10.36,7.78,9.23,8.93,8.60,10.57,9.13,10.31,7.87,10.82,8.74,9.31,9.08,8.65,8.86,10.18,6.34,8.75,7.26,9.41,11.70,8.49,9.63,10.37,11.15,10.50,12.31,10.70,10.58,10.28,11.67,11.20,13.92,13.91,11.15,11.33,16.85,13.48,14.52
2016,7.30,6.90,7.00,7.60,7.70,6.90,7.10,7.80,7.20,7.60,7.50,7.60,8.10,7.70,7.90,7.30,8.40,7.80,7.20,9.50,7.50,8.10,8.30,7.50,7.80,8.20,8.30,7.70,8.80,11.10,7.60,8.60,8.20,7.60,7.90,7.90,10.20,8.70,8.40,7.90,8.00,8.10,8.50,9.10,9.50,9.60,8.30,9.10,8.40,8.50,9.60,9.10,10.10,8.40,10.10,8.70,9.40,9.50,8.80,8.90,9.50,7.90,9.00,8.30,9.30,11.10,8.00,9.50,10.30,10.90,9.30,10.70,9.90,11.30,10.40,11.10,10.30,11.50,12.40,11.70,11.30,13.30,12.70,12.20
2017,6.63,6.23,6.15,7.21,6.94,6.30,6.71,7.29,6.78,7.11,7.11,7.40,7.86,7.61,7.52,7.03,7.73,7.40,7.00,8.93,7.27,7.60,7.98,7.06,7.33,7.67,7.97,7.31,8.38,10.14,7.63,8.30,7.87,7.30,7.48,7.69,9.67,8.35,7.81,7.50,8.10,8.10,8.31,9.11,9.10,8.83,7.93,8.96,8.22,8.36,9.79,9.08,9.93,8.17,10.08,8.54,8.73,9.25,8.60,8.72,9.56,7.87,9.02,7.57,9.59,10.19,8.10,8.94,10.53,11.05,8.98,10.88,10.03,10.99,10.84,11.11,10.45,10.85,12.49,12.84,12.21,13.67,12.07,12.67
2018,5.70,5.50,5.30,6.20,6.60,5.30,5.80,6.40,5.90,7.00,5.60,6.70,7.40,7.10,6.40,6.50,7.50,6.90,5.60,8.20,7.20,6.20,7.00,6.00,6.30,6.80,7.20,7.10,8.40,8.90,5.70,7.80,6.20,7.40,6.30,6.10,9.00,8.50,8.20,6.10,6.30,7.20,8.50,8.80,8.00,7.30,6.80,8.10,8.00,7.80,8.40,9.10,9.20,7.00,8.80,8.90,7.30,9.70,7.50,7.80,8.90,6.00,8.40,6.30,8.40,9.20,7.20,8.20,10.20,10.20,8.20,9.10,9.90,11.20,9.90,10.60,10.10,9.20,11.10,11.80,10.80,12.20,10.70,12.20
