Year,Harlow,Stevenage,Basildon and Billericay,Huntingdon,South Basildon and East Thurrock,Thurrock,Hemel Hempstead,North West Cambridgeshire,Broxbourne,Rayleigh and Wickford,Chelmsford,Maldon,South West Bedfordshire,Witham,Hertford and Stortford,South East Cambridgeshire,Welwyn Hatfield,Bury St Edmunds,Braintree,North East Bedfordshire,North East Hertfordshire,Castle Point,Hitchin and Harpenden,Mid Bedfordshire,Epping Forest,Broadland,South Cambridgeshire,South Norfolk,Mid Norfolk,Hertsmere,St Albans,West Suffolk,Luton North,Brentwood and Ongar,South West Hertfordshire,Norwich North,North East Cambridgeshire,Colchester,South West Norfolk,Central Suffolk and North Ipswich,South Suffolk,Watford,Saffron Walden,North West Norfolk,Harwich and North Essex,Peterborough,Clacton,Suffolk Coastal,Bedford,North Norfolk,Great Yarmouth,Norwich South,Southend West,Rochford and Southend East,Waveney,Ipswich,Luton South,Cambridge
2011,6.6,6.9,7.1,7.5,7.7,7.8,8,8.4,8.4,8.6,8.7,8.9,8.9,9.1,9.2,9.2,9.2,9.3,9.3,9.4,9.4,9.5,9.7,9.7,9.7,9.8,9.9,9.9,9.9,10,10.1,10.1,10.3,10.4,10.4,10.4,10.5,10.5,10.6,10.7,10.8,10.8,10.9,11.1,11.6,11.7,11.9,12,12,12.1,12.3,12.4,12.6,12.6,13,13.7,14.9,15.8
2012,6.50,6.60,6.20,6.10,6.80,7.50,7.40,6.60,6.50,5.80,7.10,7.20,7.10,7.50,7.10,7.10,8.70,7.90,8.30,7.40,8.60,6.60,8.00,7.40,8.10,7.90,7.80,8.50,8.40,8.00,8.10,7.80,10.80,8.00,8.50,9.00,8.10,8.60,8.90,9.90,9.30,9.70,9.20,9.30,8.90,11.50,8.30,10.20,11.10,11.20,10.70,11.90,8.60,9.70,10.50,12.10,15.30,13.20
2013,7.40,7.40,7.00,6.80,8.00,8.80,7.90,7.20,7.50,6.40,7.40,7.50,7.60,7.70,7.00,7.20,8.70,8.00,8.30,7.60,8.30,7.60,7.80,7.90,8.40,8.00,7.40,8.20,8.30,8.20,8.00,8.10,11.50,7.90,7.90,8.90,7.80,8.70,8.80,9.30,9.00,9.60,8.40,8.90,9.30,11.30,9.30,9.70,11.40,10.30,11.30,11.30,9.00,10.40,11.30,11.70,14.70,12.20
2014,7.10,7.10,6.30,6.30,7.20,7.60,7.50,7.10,6.60,5.40,6.40,7.20,6.90,8.40,6.70,7.70,8.10,8.80,8.80,7.50,9.00,6.40,7.50,8.10,7.50,9.50,8.60,10.30,10.00,7.30,7.30,9.70,8.00,7.60,7.20,7.70,7.50,7.60,11.50,10.60,10.40,8.20,9.70,10.00,9.10,9.60,7.50,9.80,9.60,11.50,10.50,10.40,8.10,9.60,10.00,9.70,10.80,11.40
2015,6.44,6.52,5.63,5.69,6.46,6.93,6.87,6.35,5.98,4.74,5.70,6.46,6.27,7.69,6.03,7.04,7.46,8.07,8.12,6.90,8.27,5.64,6.80,7.41,6.81,8.77,7.85,9.58,9.29,6.69,6.61,8.97,7.29,6.88,6.50,7.08,6.91,6.89,10.69,9.93,9.73,7.54,9.02,9.33,8.38,8.89,6.86,9.11,8.91,10.80,9.83,9.69,7.48,8.97,9.25,9.06,10.16,10.75
2016,7.90,7.70,7.80,8.10,8.30,8.80,8.20,8.50,7.50,7.00,7.90,8.20,8.00,8.40,7.40,8.10,9.20,8.80,9.10,8.50,8.50,9.30,8.00,7.90,7.90,9.60,8.40,9.50,10.00,8.50,8.00,9.40,10.40,8.20,8.10,10.40,10.50,9.80,11.20,10.10,9.80,9.70,8.70,10.70,9.90,12.00,10.90,10.30,10.90,11.10,12.80,12.00,9.40,10.60,11.90,12.30,12.70,11.60
2017,8.14,8.06,8.33,8.00,9.30,8.94,8.58,8.45,8.19,7.97,8.05,8.39,8.55,8.80,7.45,7.87,9.92,8.80,9.21,8.53,8.92,9.97,8.40,8.32,8.85,9.68,8.46,9.38,9.72,8.99,8.39,9.43,11.97,8.69,8.75,10.44,9.91,10.52,10.41,10.16,10.00,9.75,9.23,10.84,10.41,13.24,11.64,10.83,12.39,11.52,13.24,12.73,10.31,12.10,12.77,13.07,15.36,12.37
2018,7.60,7.30,7.70,7.70,8.70,8.50,7.50,8.60,7.40,7.80,7.40,9.30,8.00,9.10,6.60,8.60,8.40,9.10,9.70,9.00,8.60,9.00,7.00,8.80,7.80,11.00,8.80,10.90,11.30,7.60,7.20,9.60,10.70,8.10,7.30,9.40,11.00,9.00,12.00,11.00,11.10,8.20,9.30,11.60,11.00,10.70,10.80,12.10,10.50,13.60,12.70,11.00,8.80,9.80,12.00,10.50,12.20,11.20
