Year,Washington and Sunderland West,North Tyneside,Jarrow,Blyth Valley,Gateshead,Houghton and Sunderland South,Newcastle upon Tyne North,South Shields,Stockton South,Middlesbrough South and East Cleveland,Sedgefield,North Durham,Blaydon,Wansbeck,Tynemouth,Stockton North,Redcar,Newcastle upon Tyne Central,Hartlepool,Newcastle upon Tyne East,City of Durham,Easington,North West Durham,Bishop Auckland,Darlington,Hexham,Berwick-upon-Tweed,Sunderland Central,Middlesbrough
2011,8.3,9.3,9.4,9.7,10.3,10.8,10.9,11,11.5,11.7,11.8,11.8,11.9,11.9,12.1,12.1,12.4,12.7,12.8,12.8,13.5,13.6,13.7,14.1,14.6,14.7,14.7,15.8,18.7
2012,9.6,9.3,10.4,9.6,11.5,11.1,10,11.3,9.2,10.5,10.4,10.4,10.6,10.5,10.1,11.5,11.3,15.5,11.6,14.7,12,11.6,11.6,12.3,12,13.4,13.9,14.2,17.9
2013,10.7,9.4,10.5,9.8,11.5,11.6,10.3,11.8,10.1,11.3,10.5,11.2,10.5,11,10.3,12.2,11.8,14.7,12.2,13.9,11.5,11.4,11.5,12.7,12.8,12.1,13,14.6,18.1
2014,11.2,9.4,10.8,9.9,12,11.9,10.5,12.3,9.4,11.3,11.2,11.4,10.6,11.6,10.5,12.1,11.1,14.5,11.8,15.1,11.9,11.6,12.8,14.3,12.7,15.6,16.7,14.7,16.8
2015,12.77512336,11.34380089,11.93747166,11.55592015,13.17131713,12.90023202,11.86618925,12.52990742,11.38507043,11.93370983,12.46336282,12.59246034,12.22295649,12.21165054,10.89252943,13.34784836,12.47521693,15.98576292,12.82913985,16.62261893,13.50994748,13.04217114,13.82139173,14.34446912,14.26150942,13.75079331,15.02662313,15.99099099,18.12808638
2016,15.1,11.5,13.1,12.2,13.4,14.8,12.1,13.1,12,13.3,13.3,13,12.2,12.9,10.9,14.9,14.3,15.8,14.7,15.4,13.8,14.6,14.1,14.5,14,12.5,13.7,15.8,19.3
2017,11.43295803,9.402777209,10.66293721,10.01313638,11.724918,12.04770568,10.01006407,11.58434011,10.06701839,11.14094934,11.32100327,10.90877254,9.941476777,11.01839056,9.280477633,12.51129858,11.99939473,14.76985331,12.64458465,14.33285264,11.87270191,12.45646933,11.43912307,12.52441346,12.51750742,11.16677536,12.21024103,14.22640343,18.07733808
2018,8.1,7.7,8.4,8.2,9,8.8,8.1,9.1,8.1,9.7,9.4,8.6,8.3,8.7,7.6,10.1,10,11.4,10.1,12.2,10.4,9.5,10.3,10.6,9,10.4,12.2,10.5,13.5
