Regions,2011,2012,2013,2014,2015,2016,2017,2018
East,10,8.6,8.8,8.4,7.77,9.4,9.8,9.4
East Midlands,13,13.2,10.4,10.1,12.69,11.7,9.3,10.9
London,10,8.9,9.8,10.6,10.08,10,11.8,11.4
North East,12,11.6,11.8,12.2,13.26,13.8,11.8,9.5
North West,13,11.3,10.9,11.2,11.81,12.8,13.1,12.1
South East,8,7.8,8.1,8.3,9.35,9,8.7,7.9
South West,9,9.3,11.5,12.2,11.37,10.2,10.8,9.4
West Midlands,14,15.2,13.9,12.1,13.53,13.7,9.3,11.4
Yorkshire and the Humber,11,10.8,10.6,11.8,12.37,12.1,10.6,10.1
